t,f,its,flag,fails
1038.437963,-49580.0000000002,14355,-1,1
670.685615,-91622.9999999995,14355,-1,1
850.942389,-5542188,14355,-1,0
26.9856,-Inf,843,1,1
184.072833,0,14799,-1,1
632.397509,-49580.0000000002,14629,-1,1
