t,f,its,flag,fails
3.936156,1043390.83920138,2701,-1,0
3.729423,738366.178492967,2701,-1,0
9.236625,710766.082454923,2701,-1,0
3.865459,589081.436255597,2701,-1,0
1.607076,738366.178492958,2785,-1,0
3.942862,1043390.83920138,2751,-1,0
