t,f,its,flag,fails
43.573645,-10.846181525569,7021,-1,0
1.582241,-52.2020612117072,248,0,0
3.186176,-52.2020612117073,343,0,0
2.348221,-52.2020612117072,368,0,0
3.221558,0,7221,-1,0
43.747345,-10.846181525569,7021,-1,0
