t,f,its,flag,fails
8.487626,-25468.6697284763,4043,-1,0
8.189625,-25468.6697284763,4043,-1,0
11.316533,-25468.6697284763,4043,-1,0
0.255702,-25468.6697284763,143,0,0
1.369028,-25468.6697284847,2782,0,0
8.531733,-25468.6697284763,4065,-1,0
