t,f,its,flag,fails
3.954742,0,2863,-1,0
0.153605,-30.8121498458282,149,0,0
7.267025,0,2863,-1,0
3.787269,0,2863,-1,0
1.276257,0,2925,-1,0
3.921273,0,2895,-1,0
