t,f,its,flag,fails
579.569388,-49979,14647,-1,0
479.689338,-486020,14647,-1,0
646.818398,-499341,14647,-1,0
50.397737,-Inf,1818,1,1
49.89871,-399,15074,-1,0
572.584861,-49979,15073,-1,0
