t,f,its,flag,fails
476.15341,51.8461494058539,16168,-1,0
507.130812,51.8461494058423,16168,-1,0
1.05909,-Inf,642,1,1
8.244884,-Inf,866,1,1
154.803401,-Inf,16393,1,1
484.531418,51.8461494058539,16795,-1,0
