t,f,its,flag,fails
14.706095,-1704551.21968213,5094,-1,0
14.763084,-1704551.21968213,5094,-1,0
20.907758,-1704551.21968213,5094,-1,0
0.061348,-Inf,183,1,0
3.757515,Inf,5150,1,0
14.567853,-1704551.21968213,5257,-1,0
