t,f,its,flag,fails
0.404795,2.17368334004308e-14,1008,-1,0
0.007775,-455.961471428571,32,0,0
0.59002,-5.03349520404522e-31,1008,-1,0
0.146859,-455.961471428571,381,0,0
0.215206,-4.47001826341646e-28,534,0,0
0.403302,2.17368334004308e-14,1025,-1,0
